Centrality: 0-10%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
4.8         1.20e+00    5.04e-02        2.56e-01 
5.5         1.09e+00    1.13e-01        2.31e-01 
6.5         9.42e-01    2.78e-01        2.06e-01 
7.5         8.26e-01    6.49e-01        3.03e-01 
Centrality: 60-86%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         7.62e-01    4.68e-04        1.51e-01 
1.1         9.47e-01    6.93e-04        1.88e-01 
1.3         8.29e-01    7.81e-04        1.65e-01 
1.5         9.31e-01    1.14e-03        1.86e-01 
1.7         8.88e-01    1.44e-03        1.78e-01 
1.9         8.74e-01    1.87e-03        1.75e-01 
2.1         9.53e-01    2.65e-03        2.17e-01 
2.3         1.03e+00    3.82e-03        2.28e-01 
2.5         1.10e+00    5.41e-03        2.68e-01 
2.7         1.16e+00    7.53e-03        2.30e-01 
2.9         1.21e+00    1.03e-02        2.26e-01 
3.2         1.27e+00    1.77e-02        2.36e-01 
3.8         1.22e+00    3.30e-02        2.46e-01 
4.2         1.45e+00    6.61e-02        2.94e-01 
4.8         1.06e+00    9.98e-02        2.26e-01 
5.5         1.34e+00    2.65e-01        2.83e-01 
6.5         8.41e-01    5.55e-01        1.84e-01 
7.5         1.84e+00    2.05e+00        6.77e-01 
Centrality: 0-86%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         4.66e-01    5.45e-05        9.21e-02 
1.1         5.61e-01    7.91e-05        1.11e-01 
1.3         5.09e-01    9.05e-05        1.01e-01 
1.5         5.84e-01    1.34e-04        1.17e-01 
1.7         5.63e-01    1.68e-04        1.13e-01 
1.9         5.55e-01    2.19e-04        1.11e-01 
2.1         5.89e-01    3.06e-04        1.34e-01 
2.3         6.38e-01    4.42e-04        1.41e-01 
2.5         6.77e-01    6.23e-04        1.66e-01 
2.7         7.02e-01    8.59e-04        1.39e-01 
2.9         7.33e-01    1.18e-03        1.37e-01 
3.2         7.32e-01    1.97e-03        1.35e-01 
3.8         7.42e-01    3.76e-03        1.50e-01 
4.2         7.23e-01    6.83e-03        1.47e-01 
4.8         7.18e-01    1.20e-02        1.53e-01 
5.5         7.10e-01    2.60e-02        1.50e-01 
6.5         6.60e-01    7.16e-02        1.44e-01 
7.5         6.65e-01    1.79e-01        2.44e-01 
8.5         3.13e-01    1.35e-01        1.23e-01 
