

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.394      |   0.328 |  30.425 | \pm  0.089    |  86.94 | 140.87 | \pm 17.11   | 0.82         | 41.6  | \pm  5.86   | \pm  9.43   | \pm 20.40   
 0.372      |   8.053 |  28.585 | \pm  0.086    |  86.28 | 139.66 | \pm 18.10   | 0.85         | 39.9  | \pm  7.17   | \pm  9.93   | \pm 21.86   
 0.350      |   5.798 |  26.815 | \pm  0.059    |  87.25 | 139.96 | \pm 13.64   | 0.89         | 38.5  | \pm  5.58   | \pm  9.02   | \pm 17.28   
 0.328      |   3.572 |  25.212 | \pm  0.057    |  84.92 | 138.46 | \pm 14.19   | 0.89         | 37.3  | \pm  5.46   | \pm 12.28   | \pm 19.55   
 0.306      |   1.368 |  23.631 | \pm  0.055    |  82.12 | 136.56 | \pm 14.59   | 0.91         | 36.0  | \pm  5.25   | \pm 11.88   | \pm 19.53   
 0.284      |   9.158 |  22.030 | \pm  0.052    |  78.29 | 134.27 | \pm 14.70   | 0.89         | 34.6  | \pm  4.86   | \pm 13.82   | \pm 20.75   
 0.263      |   6.943 |  20.408 | \pm  0.050    |  73.07 | 131.50 | \pm 15.26   | 0.91         | 33.1  | \pm  5.84   | \pm 15.75   | \pm 22.69   
 0.241      |   4.731 |  18.770 | \pm  0.048    |  69.01 | 129.45 | \pm 15.73   | 0.88         | 32.1  | \pm  6.53   | \pm 15.73   | \pm 23.19   
 0.219      |   2.501 |  17.102 | \pm  0.037    |  67.76 | 129.28 | \pm 13.97   | 0.94         | 30.7  | \pm  3.27   | \pm 12.91   | \pm 19.31   
 0.197      |   0.271 |  15.421 | \pm  0.035    |  60.25 | 123.65 | \pm 14.29   | 0.94         | 29.1  | \pm  5.43   | \pm 15.13   | \pm 21.52   
 0.175      |   8.030 |  13.713 | \pm  0.028    |  52.49 | 118.31 | \pm 13.95   | 0.99         | 27.4  | \pm  5.87   | \pm 13.32   | \pm 20.16   
 0.153      |   5.787 |  11.998 | \pm  0.026    |  44.71 | 112.06 | \pm 13.58   | 1.00         | 25.4  | \pm  5.81   | \pm 15.35   | \pm 21.30   
 0.131      |   3.540 |  10.276 | \pm  0.022    |  37.12 | 106.29 | \pm 12.40   | 1.05         | 22.9  | \pm  5.42   | \pm 14.45   | \pm 19.80   
 0.109      |   1.289 |   8.548 | \pm  0.018    |  22.24 |  92.30 | \pm 10.92   | 1.09         | 20.3  | \pm  6.77   | \pm 14.31   | \pm 19.23   
 0.087      |   9.029 |   6.805 | \pm  0.014    |  99.52 |  72.96 | \pm  9.30   | 1.03         | 17.2  | \pm  5.46   | \pm 10.51   | \pm 15.06   
 0.066      |   6.807 |   5.296 | \pm  0.011    |  75.37 |  54.94 | \pm  6.89   | 0.81         | 14.2  | \pm  6.29   | \pm  8.08   | \pm 12.34   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XVII)	Centrality 10-15%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   0.607 |  46.909 | \pm  0.119    |  29.59 | 100.31 | \pm  6.29   | 0.80         | 58.0  | \pm  1.29   | \pm  1.51   | \pm  6.60   
 0.678      |   9.026 |  45.725 | \pm  0.118    |  23.34 |  95.54 | \pm  6.09   | 0.76         | 56.6  | \pm  4.71   | \pm  9.77   | \pm 12.44   
 0.656      |   7.108 |  44.179 | \pm  0.116    |  21.44 |  93.94 | \pm  6.08   | 0.70         | 55.3  | \pm  5.55   | \pm  4.90   | \pm  9.58   
 0.634      |   5.139 |  42.596 | \pm  0.113    |  21.88 |  94.14 | \pm  6.24   | 0.70         | 54.2  | \pm  4.92   | \pm  3.01   | \pm  8.50   
 0.613      |   3.198 |  41.064 | \pm  0.111    |  20.98 |  93.37 | \pm  6.33   | 0.69         | 52.9  | \pm  5.23   | \pm  2.63   | \pm  8.62   
 0.591      |   1.256 |  39.556 | \pm  0.108    |  20.49 |  92.96 | \pm  6.46   | 0.71         | 52.2  | \pm  3.80   | \pm  3.87   | \pm  8.44   
 0.569      |   9.321 |  38.025 | \pm  0.106    |  19.78 |  92.31 | \pm  6.58   | 0.70         | 51.3  | \pm  3.61   | \pm  2.65   | \pm  7.95   
 0.547      |   7.393 |  36.482 | \pm  0.103    |  17.86 |  90.68 | \pm  6.62   | 0.71         | 50.1  | \pm  3.12   | \pm  3.60   | \pm  8.15   
 0.525      |   5.463 |  34.943 | \pm  0.101    |  17.65 |  90.38 | \pm  6.79   | 0.71         | 49.2  | \pm  3.77   | \pm  3.44   | \pm  8.49   
 0.503      |   3.535 |  33.398 | \pm  0.098    |  17.79 |  90.32 | \pm  7.03   | 0.71         | 48.2  | \pm  3.47   | \pm  4.14   | \pm  8.87   
 0.481      |   1.602 |  31.839 | \pm  0.095    |  18.04 |  90.30 | \pm  7.29   | 0.71         | 46.9  | \pm  3.18   | \pm  3.55   | \pm  8.71   
 0.459      |   9.668 |  30.267 | \pm  0.092    |  18.96 |  90.76 | \pm  7.64   | 0.73         | 45.2  | \pm  3.46   | \pm  4.65   | \pm  9.59   
 0.438      |   7.729 |  28.684 | \pm  0.090    |  18.41 |  90.03 | \pm  7.87   | 0.72         | 44.0  | \pm  3.52   | \pm  4.95   | \pm  9.94   
 0.416      |   5.787 |  27.104 | \pm  0.087    |  18.19 |  89.52 | \pm  8.24   | 0.74         | 42.5  | \pm  4.23   | \pm  5.06   | \pm 10.56   
 0.394      |   3.864 |  25.547 | \pm  0.084    |  18.35 |  89.25 | \pm  8.67   | 0.76         | 41.1  | \pm  4.60   | \pm  4.92   | \pm 10.98   
 0.372      |   1.943 |  23.994 | \pm  0.082    |  18.19 |  88.71 | \pm  9.20   | 0.75         | 39.6  | \pm  4.92   | \pm  5.31   | \pm 11.70   
 0.350      |   0.061 |  22.517 | \pm  0.056    |  17.56 |  87.92 | \pm  6.85   | 0.75         | 38.1  | \pm  4.91   | \pm  5.85   | \pm 10.26   
 0.328      |   8.191 |  21.172 | \pm  0.053    |  17.37 |  87.84 | \pm  7.21   | 0.78         | 36.3  | \pm  5.14   | \pm  5.41   | \pm 10.38   
 0.306      |   6.340 |  19.845 | \pm  0.051    |  17.25 |  87.95 | \pm  7.59   | 0.78         | 34.7  | \pm  4.90   | \pm  5.07   | \pm 10.36   
 0.284      |   4.493 |  18.509 | \pm  0.049    |  17.01 |  87.82 | \pm  8.16   | 0.82         | 33.5  | \pm  4.41   | \pm  5.83   | \pm 10.96   
 0.263      |   2.636 |  17.150 | \pm  0.047    |  14.86 |  86.40 | \pm  8.44   | 0.80         | 31.8  | \pm  5.74   | \pm  5.96   | \pm 11.82   
 0.241      |   0.776 |  15.774 | \pm  0.044    |  14.37 |  86.11 | \pm  8.95   | 0.82         | 30.3  | \pm  5.34   | \pm  6.20   | \pm 12.13   
 0.219      |   8.905 |  14.375 | \pm  0.034    |  12.39 |  84.83 | \pm  7.68   | 0.82         | 28.8  | \pm  5.37   | \pm  7.32   | \pm 11.89   
