0 - 20 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    3.04     0.000725     0.000289      -2.84e-05     2.65e-05
    3.24     0.000597     0.000282      -2.84e-05     2.65e-05
    3.44     0.000146     0.000279      -2.54e-05     2.37e-05
    3.63     0.000623     0.000296      -2e-05     1.87e-05
    3.83     0.000342     0.000319      -1.32e-05     1.24e-05
    4.12     0.000345     0.000259      -2.93e-06     2.76e-06
    4.52     0.000206     0.000328      6.02e-06     -5.7e-06
4-5 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000261     0.00037      -2.65e-07     2.51e-07
    -1.13     0.000758     0.000314      -3.93e-06     3.7e-06
    -0.83     0.000294     0.000238      -1.04e-05     9.71e-06
    -0.54     0.000184     0.000204      -1.76e-05     1.64e-05
    -0.29     0.00112     0.000243      -2.25e-05     2.09e-05
    -0.15     0.00527     0.000432      -2.42e-05     2.25e-05
    -0.05     0.00755     0.000472      -2.47e-05     2.3e-05
    0.05     0.00695     0.000447      -2.47e-05     2.3e-05
    0.15     0.00422     0.000403      -2.42e-05     2.25e-05
