20 - 40 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -0.05     0.000494     2.94e-05      -2.14e-05     2.35e-05
    0.05     0.000552     2.96e-05      -2.14e-05     2.35e-05
    0.15     0.000442     2.95e-05      -2.06e-05     2.28e-05
    0.29     0.000185     2.09e-05      -1.8e-05     2.04e-05
    0.54     2.75e-05     1.8e-05      -1.1e-05     1.39e-05
    0.83     8.8e-07     2e-05      -1.44e-06     4.9e-06
    1.13     2.19e-05     2.39e-05      5.84e-06     -2.13e-06
    1.42     3.12e-05     3.12e-05      9.42e-06     -5.69e-06
    1.77     3.74e-05     2.53e-05      9.08e-06     -5.35e-06
    2.16     2.11e-05     1.97e-05      2.63e-06     9.94e-07
    2.45     5.67e-05     2.48e-05      -6.12e-06     9.32e-06
    2.65     8.17e-05     2.32e-05      -1.26e-05     1.53e-05
    2.85     2.4e-05     2.19e-05      -1.8e-05     2.04e-05
    3.04     8.13e-05     2.19e-05      -2.11e-05     2.32e-05
    3.24     6.61e-05     2.2e-05      -2.11e-05     2.32e-05
    3.44     2.18e-05     2.22e-05      -1.8e-05     2.04e-05
    3.63     6.95e-05     2.29e-05      -1.26e-05     1.53e-05
    3.83     7.77e-05     2.43e-05      -6.12e-06     9.32e-06
    4.12     7.34e-05     1.93e-05      2.63e-06     9.94e-07
    4.52     7.86e-05     2.49e-05      9.08e-06     -5.35e-06
3-4 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.033     0.00551      0.0135     -0.0113
    -1.13     0.013     0.00524      0.00411     -0.00227
    -0.83     0.0289     0.00449      -0.0129     0.0138
    -0.54     0.102     0.00386      -0.0327     0.0323
    -0.29     0.21     0.00453      -0.0461     0.0448
    -0.15     0.248     0.00638      -0.051     0.0492
    -0.05     0.256     0.00635      -0.0525     0.0506
    0.05     0.253     0.00631      -0.0525     0.0506
    0.15     0.259     0.00629      -0.051     0.0492
    0.29     0.208     0.00444      -0.0461     0.0448
    0.54     0.107     0.00378      -0.0327     0.0323
    0.83     0.0199     0.00439      -0.0129     0.0138
    1.13     -0.00588     0.00506      0.00411     -0.00227
    1.42     0.0374     0.00543      0.0135     -0.0113
    1.77     0.0965     0.00496      0.0126     -0.0104
    2.16     0.143     0.00419      -0.00366     0.00509
    2.45     0.159     0.00532      -0.0228     0.0231
    2.65     0.16     0.00508      -0.0358     0.0351
    2.85     0.144     0.00484      -0.0461     0.0448
    3.04     0.14     0.00466      -0.0519     0.0501
    3.24     0.149     0.00463      -0.0519     0.0501
    3.44     0.157     0.00477      -0.0461     0.0448
    3.63     0.163     0.00497      -0.0357     0.0351
    3.83     0.154     0.00519      -0.0228     0.0231
    4.12     0.144     0.00404      -0.00366     0.00509
    4.52     0.0977     0.00478      0.0126     -0.0104
3-4 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0178     0.00321      0.00552     -0.00505
    -1.13     0.000591     0.00267      0.0014     -0.00105
    -0.83     0.0156     0.00224      -0.00672     0.00666
    -0.54     0.0637     0.00193      -0.0171     0.0163
    -0.29     0.132     0.00216      -0.0245     0.0231
