p+p

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
#xi=1.741851

Dphi  CF  CFerr
3.829  11.321021  1.401465
4.025  8.163473  1.313246
4.222  5.866371  1.226896
4.418  4.202755  1.125648
4.614  3.274836  1.159738


4-5 #otimes 3-4 GeV/c
#xi=4.132205

Dphi  CF  CFerr
-1.473  7.506907  5.328328
-1.276  4.991253  3.538208
-1.080  5.576248  3.228610
-0.884  1.573246  1.574555
-0.687  4.321574  2.501008
-0.491  14.444487  4.200813
-0.295  52.059631  7.340950
-0.098  135.982239  10.988632
0.098  141.607376  10.930875
0.295  60.415245  8.044575
0.491  9.813891  3.487183
0.687  6.016344  3.017225
0.884  6.445972  3.233403
1.080  1.983719  1.985686
1.276  2.738032  2.741852
1.473  3.424658  3.430517
1.669  14.149505  7.125432
1.865  12.077294  5.433648
2.062  8.304356  4.169416
2.258  11.241303  4.272674
2.454  20.445169  5.333503
2.651  25.217442  5.572096
2.847  48.153179  7.608927
3.043  62.213184  8.496386
3.240  69.807587  8.695610
3.436  43.415230  7.012044
3.632  25.850676  5.582771
3.829  13.526327  4.311421
4.025  4.784630  2.771343
4.222  10.803185  4.857585
4.418  7.080855  4.103083
4.614  7.126897  5.057592


4-5 #otimes 4-5 GeV/c
#xi=9.625615

Dphi  CF  CFerr
-1.473  0.000000  0.000000
-1.276  0.000000  0.000000
-1.080  9.174312  9.216300
-0.884  0.000000  0.000000
-0.687  7.580598  7.609657
-0.491  29.847940  13.547033
-0.295  66.037735  18.222773
-0.098  347.906342  41.665302
0.098  363.281250  43.983952
0.295  68.965515  19.056793
0.491  24.242424  12.267256
0.687  7.154572  7.180318
0.884  0.000000  0.000000
1.080  0.000000  0.000000
1.276  0.000000  0.000000
1.473  0.000000  0.000000
1.669  0.000000  0.000000
1.865  30.303030  21.749714
2.062  11.111111  11.172669
2.258  24.793388  14.490835
2.454  26.136488  13.237970
2.651  81.761009  23.585236
2.847  102.034576  24.603609
3.043  105.527641  24.212597
3.240  119.318184  27.546965
3.436  101.123596  25.011187
3.632  82.150627  22.967062
3.829  31.007751  15.742412
4.025  24.528564  14.334718
4.222  0.000000  0.000000
4.418  12.195122  12.269258
4.614  0.000000  0.000000


5-10 #otimes 0.4-1 GeV/c
#xi=1.801056

Dphi  CF  CFerr
-1.473  1.752070  0.049861
-1.276  1.784446  0.049887
-1.080  1.884576  0.049950
-0.884  1.977824  0.046536
-0.687  2.334743  0.044951
-0.491  2.824940  0.044931
-0.295  3.766377  0.051467
-0.098  4.220489  0.056553
0.098  4.144056  0.056331
0.295  3.611755  0.051751
0.491  2.766788  0.046848
0.687  2.308772  0.047901
0.884  2.006186  0.050850
1.080  1.819397  0.053605
1.276  1.720440  0.053407
1.473  1.738479  0.053433
1.669  1.899615  0.057199
1.865  2.045780  0.058667
2.062  2.243354  0.055630
2.258  2.379449  0.052436
2.454  2.878674  0.055154
2.651  3.159952  0.053901
2.847  3.494370  0.053351
3.043  3.870462  0.055565
3.240  3.828527  0.056118
3.436  3.697521  0.055699
3.632  3.299568  0.053809
3.829  3.007151  0.053919
4.025  2.533553  0.052840
4.222  2.222864  0.055222
4.418  2.188438  0.060053
4.614  1.902528  0.054087


5-10 #otimes 1-2 GeV/c
#xi=2.557813

Dphi  CF  CFerr
-1.473  2.653902  0.168383
-1.276  2.686807  0.155627
-1.080  2.320521  0.121141
-0.884  2.973495  0.126444
-0.687  3.734661  0.129593
-0.491  6.256390  0.160678
-0.295  11.753071  0.200145
-0.098  18.689833  0.245800
0.098  18.443733  0.245979
0.295  11.765491  0.206928
0.491  6.345408  0.172422
0.687  3.859567  0.146863
0.884  3.031647  0.145713
1.080  2.413172  0.141868
1.276  2.339385  0.161498
1.473  2.597617  0.182885
1.669  2.586233  0.173340
1.865  3.239296  0.175339
2.062  3.825999  0.165404
2.258  4.523648  0.163589
2.454  6.167629  0.176228
2.651  7.585915  0.186086
2.847  9.959324  0.203766
3.043  11.825172  0.218172
3.240  11.758474  0.212211
3.436  10.134666  0.200734
3.632  8.211555  0.190634
3.829  6.227829  0.178247
4.025  4.968360  0.173377
4.222  4.210709  0.174672
4.418  3.051908  0.169912
4.614  2.548222  0.168541


5-10 #otimes 2-3 GeV/c
#xi=4.006674

Dphi  CF  CFerr
-1.473  3.692024  0.757023
-1.276  2.402455  0.502407
-1.080  3.848356  0.552345
-0.884  3.718207  0.490415
-0.687  7.195393  0.651766
-0.491  12.526937  0.805865
-0.295  41.434399  1.395446
-0.098  100.735786  2.104158
0.098  100.353706  2.134406
0.295  37.696144  1.371015
0.491  13.547757  0.909628
0.687  6.602022  0.693730
0.884  4.194293  0.602166
1.080  3.765231  0.630348
1.276  3.728486  0.707793
1.473  3.012360  0.733253
1.669  3.683536  0.771524
1.865  5.127732  0.777815
2.062  6.883857  0.780958
2.258  10.624398  0.896615
2.454  13.513070  0.919470
2.651  22.281271  1.145026
2.847  33.420078  1.364560
3.043  46.244659  1.548003
3.240  47.503918  1.558830
3.436  38.663322  1.436784
3.632  23.479607  1.150241
3.829  15.617632  1.012204
4.025  9.289114  0.853810
4.222  8.795427  0.902450
4.418  5.127305  0.769018
4.614  4.427927  0.841233


5-10 #otimes 3-4 GeV/c
#xi=7.487635

Dphi  CF  CFerr
-1.473  6.190673  2.789474
-1.276  11.197076  3.274957
-1.080  5.875473  1.972127
-0.884  7.217425  1.945815
-0.687  9.416864  2.078488
-0.491  20.038406  2.901733
-0.295  89.152275  6.119504
-0.098  388.937775  14.654471
0.098  366.422729  13.794536
0.295  91.648422  6.538234
0.491  25.177759  3.526504
0.687  7.284614  2.037715
0.884  10.102711  2.639047
1.080  5.789909  2.203841
1.276  6.281352  2.584010
1.473  3.352423  2.379446
1.669  7.384237  3.042306
1.865  8.155560  2.745267
2.062  13.580320  3.166876
2.258  16.537874  3.185460
2.454  27.173100  3.849733
2.651  58.281128  5.302062
2.847  97.132149  6.898077
3.043  145.628418  8.444840
3.240  160.204865  8.739165
3.436  96.167442  6.676934
3.632  54.603107  5.147729
3.829  30.756302  4.078882
4.025  17.726526  3.250037
4.222  17.012882  3.618527
4.418  8.634026  2.759024
4.614  5.221364  2.626584


5-10 #otimes 4-5 GeV/c
#xi=8.038786

Dphi  CF  CFerr
-1.473  0.000000  0.000000
-1.276  19.246191  8.817466
-1.080  0.000000  0.000000
-0.884  2.809318  2.818628
-0.687  12.696174  5.265296
-0.491  26.783415  7.673113
-0.295  158.594025  19.304796
-0.098  888.328674  62.993950
0.098  853.904724  59.565983
0.295  186.957916  22.792625
0.491  30.909246  8.283066
0.687  27.203175  9.901882
0.884  7.556675  5.390313
1.080  4.488498  4.512609
1.276  0.000000  0.000000
1.473  6.347527  6.395443
1.669  0.000000  0.000000
1.865  13.631200  8.004786
2.062  38.653568  12.766594
2.258  47.725578  12.590840
2.454  33.226837  9.566751
2.651  97.070137  16.790598
2.847  225.281601  27.193445
3.043  378.347931  37.404297
3.240  358.663971  34.507294
3.436  261.142059  29.715723
3.632  149.647568  20.993036
3.829  48.328636  11.421975
4.025  32.616753  10.212943
4.222  18.301052  8.364038
4.418  9.450679  6.762471
4.614  6.362672  6.412826


5-10 #otimes 5-10 GeV/c
#xi=8.038665

Dphi  CF  CFerr
-1.473  11.315417  11.468473
-1.276  0.000000  0.000000
-1.080  4.522329  4.547729
-0.884  3.357113  3.370312
-0.687  15.186028  6.913738
-0.491  29.931973  9.338534
-0.295  164.266006  23.844763
-0.098  1310.984375  104.228058
0.098  1315.697510  104.718666
0.295  124.084450  20.329819
0.491  40.892193  12.867619
0.687  23.380419  9.806327
0.884  5.611410  5.646569
1.080  0.000000  0.000000
1.276  7.048458  7.104226
1.473  0.000000  0.000000
1.669  7.769505  7.839577
1.865  13.165112  9.450292
2.062  31.809145  13.435308
2.258  29.723991  11.632907
2.454  85.472626  19.083950
2.651  157.736816  27.101477
2.847  336.215393  40.326900
3.043  627.414062  65.350052
3.240  515.090515  52.025764
3.436  307.787018  35.707916
3.632  120.294052  20.292784
3.829  60.453400  15.688739
4.025  27.745665  9.558414
4.222  20.456871  9.378222
4.418  4.588033  4.614285
4.614  8.708273  8.797029
