Notes - Figure 1 and 2 data
Notes - dNch/deta results have negligable statistical uncertainties
Notes - systematic uncertainties are type B correlated by the PHENIX convention (see text for details)
Notes - event selection percentiles are based on the BBC charge (not multiplicity in the range measured for dNch/deta) -- (see text for details)
 
=========================================
3He+Au at 200 GeV Results
=========================================
Centrality = 0 - 5 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.95 , 2.96905 , 0.356286
-2.85 , 3.27175 , 0.39261
-2.75 , 3.29837 , 0.395805
-2.65 , 3.43927 , 0.412713
-2.55 , 3.52012 , 0.422414
-2.45 , 3.47126 , 0.416551
-2.35 , 3.65419 , 0.438503
-2.25 , 3.63069 , 0.435683
-2.15 , 3.79887 , 0.455864
-2.05 , 3.88944 , 0.466733
-1.95 , 3.96638 , 0.475966
-1.85 , 4.17533 , 0.50104
-1.75 , 4.34537 , 0.521444
-1.65 , 4.56152 , 0.547382
-0.25 , 3.71351 , 0.519892
-0.15 , 3.60558 , 0.504781
-0.05 , 3.49058 , 0.488682
0.05 , 3.5683 , 0.499562
0.15 , 3.61166 , 0.505633
0.25 , 3.66392 , 0.512949
1.65 , 4.54253 , 0.545103
1.75 , 4.41393 , 0.529671
1.85 , 4.25319 , 0.510383
1.95 , 3.92494 , 0.470993
2.05 , 3.80789 , 0.456947
2.15 , 3.80843 , 0.457011
2.25 , 3.67462 , 0.440954
2.35 , 3.4308 , 0.411696
2.45 , 3.51938 , 0.422326
2.55 , 3.37942 , 0.40553
2.65 , 3.25512 , 0.390614
2.75 , 3.1004 , 0.372048
2.85 , 2.96631 , 0.355957
2.95 , 3.07588 , 0.369106
=========================================
p+Al at 200 GeV Results
=========================================
Centrality = 0 - 5 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 6.02226 , 0.722671
-2.75 , 6.72708 , 0.80725
-2.65 , 6.95982 , 0.835178
-2.55 , 6.93506 , 0.832207
-2.45 , 6.96624 , 0.835949
-2.35 , 7.21678 , 0.866013
-2.25 , 7.32964 , 0.879556
-2.15 , 7.29292 , 0.87515
-2.05 , 7.23246 , 0.867896
-1.95 , 7.58972 , 0.910766
-1.85 , 7.45226 , 0.894271
-1.75 , 7.48082 , 0.897698
-1.65 , 7.53808 , 0.904569
-0.35 , 5.56692 , 0.779368
-0.25 , 5.56177 , 0.778648
-0.15 , 5.60312 , 0.784436
-0.05 , 5.39786 , 0.755701
0.05 , 5.58777 , 0.782288
0.15 , 5.6255 , 0.78757
0.25 , 5.44677 , 0.762548
1.65 , 4.8498 , 0.581976
1.75 , 4.53765 , 0.544518
1.85 , 4.48584 , 0.538301
1.95 , 4.33473 , 0.520167
2.05 , 4.3958 , 0.527496
2.15 , 4.57279 , 0.548735
2.25 , 4.54282 , 0.545139
2.35 , 4.13683 , 0.496419
2.45 , 4.0315 , 0.48378
2.55 , 3.73485 , 0.448182
2.65 , 3.73556 , 0.448268
2.75 , 3.33853 , 0.400624
2.85 , 3.09068 , 0.370882
Centrality = 5 - 10 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 5.33637 , 0.640365
-2.75 , 5.53366 , 0.664039
-2.65 , 5.79085 , 0.694902
-2.55 , 5.88411 , 0.706093
-2.45 , 5.90009 , 0.70801
-2.35 , 6.24314 , 0.749177
-2.25 , 6.29182 , 0.755019
-2.15 , 6.19705 , 0.743645
-2.05 , 6.59343 , 0.791212
-1.95 , 6.34375 , 0.76125
-1.85 , 6.41647 , 0.769976
-1.75 , 6.71409 , 0.805691
-1.65 , 6.54445 , 0.785334
-0.35 , 4.92594 , 0.689632
-0.25 , 5.36718 , 0.751405
-0.15 , 5.20139 , 0.728194
-0.05 , 5.14751 , 0.720651
0.05 , 5.25446 , 0.735624
0.15 , 5.28099 , 0.739339
0.25 , 5.0415 , 0.705811
1.65 , 4.53845 , 0.544614
1.75 , 4.66027 , 0.559232
1.85 , 4.42245 , 0.530694
1.95 , 4.5534 , 0.546408
2.05 , 4.42485 , 0.530982
2.15 , 4.27167 , 0.5126
2.25 , 4.1664 , 0.499968
2.35 , 3.99267 , 0.47912
2.45 , 4.00726 , 0.480871
2.55 , 3.80317 , 0.456381
2.65 , 3.69381 , 0.443257
2.75 , 3.55862 , 0.427035
2.85 , 3.20415 , 0.384498
Centrality = 10 - 20 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 4.65297 , 0.558356
-2.75 , 4.80941 , 0.577129
-2.65 , 4.96575 , 0.59589
-2.55 , 5.16155 , 0.619386
-2.45 , 5.10978 , 0.613174
-2.35 , 5.30548 , 0.636658
-2.25 , 5.42309 , 0.650771
-2.15 , 5.50243 , 0.660292
-2.05 , 5.50753 , 0.660904
-1.95 , 5.52445 , 0.662934
-1.85 , 5.48289 , 0.657947
-1.75 , 5.69111 , 0.682934
-1.65 , 5.60457 , 0.672548
-0.35 , 4.52545 , 0.633563
-0.25 , 4.60476 , 0.644666
-0.15 , 4.70788 , 0.659103
